ID,Alternaria alternata,Alternaria destruens,Aspergillus versicolor,Aureobasidium pullulans,Botryozyma americana,Botryozyma mucatilis,Botryozyma nematodophila,Brettanomyces bruxellensis,Candida apicola,Candida bohioensis,Candida jiufengensis,Candida parapsilosis,Candida pseudojiufengensis,Candida sithepensis,Candida solani,Ceratobasidium ramicola,Cladosporium allii,Cladosporium cucumerinum,Cladosporium echinulatum,Cladosporium grevilleae,Cladosporium herbarum,Cladosporium macrocarpum,Cladosporium phaenocomae,Cladosporium phlei,Cladosporium ramotenellum,Cladosporium soldanellae,Cladosporium tenuissimum,Cladosporium variabile,Clavispora reshetovae,Cutaneotrichosporon moniliiforme,Cystobasidiopsis lophatheri,Epicoccum brasiliense,Filobasidium magnum,Ganoderma destructans,Gelasinospora tetrasperma,Hebeloma angustisporium,Humicola nigrescens,Kazachstania aquatica,Kazachstania kunashirensis,Kazachstania martiniae,Kazachstania siamensis,Kurtzmaniella cleridarum,Lachancea quebecensis,Lodderomyces elongisporus,Malassezia globosa,Malassezia restricta,Mrakia frigida,Mucor circinelloides,Nematodospora valgi,Neurospora terricola,Ogataea chonburiensis,Ogataea nitratoaversa,Ogataea pilisensis,Ogataea wickerhamii,Papiliotrema aurea,Paraphaeosphaeria sardoa,Penicillium cravenianum,Penicillium crustosum,Penicillium fusisporum,Penicillium kongii,Pichia fermentans,Pichia kudriavzevii,Pichia membranifaciens,Priceomyces fermenticarens,Priceomyces melissophilus,Rhizopus sexualis,Rhodotorula mucilaginosa,Roccella elisabethae,Saccharomyces bayanus,Saccharomyces cariocanus,Saccharomyces cerevisiae,Saccharomyces eubayanus,Saccharomyces kudriavzevii,Saccharomyces mikatae,Saccharomyces paradoxus,Saccharomyces pastorianus,Saccharomycodes ludwigii,Sporidiobolus metaroseus,Sporopachydermia lactativora,Thelebolus globosus,Thermomyces lanuginosus,Trichoderma atroviride,Trichoderma neokoningii,Truncospora macrospora,Typhula maritima,Vishniacozyma carnescens,Wallemia muriae,Wickerhamomyces anomalus
93,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,319,578629,24,668,5086,322,26,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,29,344,465984,20,1019,14875,324,34,0,0,0,0,0,0,0,0,0,0,0,0
102,10,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68026,0,0,0,0,10,37,1260,345432,54,1035,12821,1497,43,14,0,0,0,0,0,0,0,0,0,0,80
106,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,32,309,561199,38,763,14976,347,32,0,0,0,0,0,0,0,0,0,0,18,0
107,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,24,260,411468,15,554,8060,239,17,0,0,0,0,0,0,0,0,0,0,0,0
110,12,12,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,16,194,396829,18,252,3134,212,0,0,0,0,0,0,0,0,0,0,0,0,0
112,35,37,21,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,43,276,364568,32,846,14614,284,41,0,0,0,11,0,0,0,0,0,0,0,18
113,45,36,10,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,12,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,93,251,363837,25,679,11283,236,110,59,0,0,0,0,0,0,0,0,0,0,0
114,17,21,12,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,58,0,0,0,0,0,652,307,330012,74,1023,18494,279,612,0,0,0,0,0,0,0,0,0,0,0,0
115,11,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,385,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,36,606,404668,20,798,9689,783,38,35,0,0,0,0,0,0,0,0,0,53,22
116,0,17,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,26,360,435831,21,1016,14391,395,27,28,0,0,0,0,0,0,0,0,0,0,100
117,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989,369,560618,95,930,19769,363,1012,23,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,32,484,582485,39,909,14241,466,25,26,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,547,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,822,615359,37,849,13924,1064,35,31,0,0,0,0,0,0,0,0,0,0,0
120,13,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3854,699,592725,309,2143,44553,730,3690,63,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,14,19,12,102666,0,10,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,17,15,31,699,10,0,13,21,0,0,0,0,18,0,10,0,0,23,0,0,0,0,0,0,0,0,12,10,0,0,0,0,40,2048,520054,40,825,5407,2275,46,34238,0,19,0,0,0,0,0,0,0,0,0
